Date,Component,MOS,Cutoff_SGT,Cutoff_SSG,Eligibles_SGT,Eligibles_SSG,Promotions_SGT,Promotions_SSG
2024-MAR,ACTIVE,11B,345,417,1918,1313,119,78
2024-MAR,ACTIVE,11C,381,329,282,53,11,14
2024-MAR,ACTIVE,12B,24,372,56,286,56,9
2024-MAR,ACTIVE,12C,158,400,9,63,7,5
2024-MAR,ACTIVE,12D,24,24,2,0,2,0
2024-MAR,ACTIVE,12H,,798,,24,,0
2024-MAR,ACTIVE,12K,168,,2,,1,
2024-MAR,ACTIVE,12M,256,24,12,1,4,1
2024-MAR,ACTIVE,12N,371,588,139,179,4,1
2024-MAR,ACTIVE,12P,24,566,0,83,0,1
2024-MAR,ACTIVE,12R,24,,2,,2,
2024-MAR,ACTIVE,12T,157,24,4,0,4,0
2024-MAR,ACTIVE,12W,216,,7,,2,
2024-MAR,ACTIVE,12Y,798,24,19,4,0,4
2024-MAR,ACTIVE,13B,24,798,44,139,44,0
2024-MAR,ACTIVE,13F,24,280,15,135,15,18
2024-MAR,ACTIVE,13J,235,293,124,39,23,11
2024-MAR,ACTIVE,13M,24,24,13,8,13,8
2024-MAR,ACTIVE,13R,798,798,59,2,0,0
2024-MAR,ACTIVE,14E,798,798,165,56,0,0
2024-MAR,ACTIVE,14G,380,798,208,63,7,0
2024-MAR,ACTIVE,14H,798,798,95,74,0,0
2024-MAR,ACTIVE,14P,269,410,102,117,12,8
2024-MAR,ACTIVE,14T,356,464,283,122,7,3
2024-MAR,ACTIVE,15B,798,798,129,25,0,0
2024-MAR,ACTIVE,15C,491,798,197,59,2,0
2024-MAR,ACTIVE,15D,553,798,116,52,1,0
2024-MAR,ACTIVE,15E,401,518,126,33,10,4
2024-MAR,ACTIVE,15F,798,612,74,35,0,2
2024-MAR,ACTIVE,15G,798,798,98,49,0,0
2024-MAR,ACTIVE,15H,411,798,49,35,5,0
2024-MAR,ACTIVE,15M,407,612,60,45,2,4
2024-MAR,ACTIVE,15N,798,798,38,68,0,0
2024-MAR,ACTIVE,15P,225,475,18,72,7,4
2024-MAR,ACTIVE,15Q,292,24,48,4,5,4
2024-MAR,ACTIVE,15R,459,798,488,219,8,0
2024-MAR,ACTIVE,15T,389,563,487,333,14,3
2024-MAR,ACTIVE,15U,359,508,194,177,12,8
2024-MAR,ACTIVE,15W,394,504,189,66,18,5
2024-MAR,ACTIVE,15Y,798,590,162,133,0,1
2024-MAR,ACTIVE,17C,31,24,7,3,7,3
2024-MAR,ACTIVE,17E,24,24,8,3,8,3
2024-MAR,ACTIVE,19D,359,407,365,237,8,5
2024-MAR,ACTIVE,19K,24,24,20,24,20,24
2024-MAR,ACTIVE,25B,798,798,887,565,0,0
2024-MAR,ACTIVE,25D,,24,,0,,0
2024-MAR,ACTIVE,25E,,24,,0,,0
2024-MAR,ACTIVE,25H,377,562,608,528,25,7
2024-MAR,ACTIVE,25S,404,612,282,241,14,2
2024-MAR,ACTIVE,25U,411,572,787,769,42,18
2024-MAR,ACTIVE,27D,400,509,36,139,1,1
2024-MAR,ACTIVE,31B,320,476,327,428,64,25
2024-MAR,ACTIVE,31D,24,798,0,35,0,0
2024-MAR,ACTIVE,31E,24,798,2,118,2,0
2024-MAR,ACTIVE,31K,536,798,64,26,1,0
2024-MAR,ACTIVE,35F,413,422,619,325,30,21
2024-MAR,ACTIVE,35G,446,798,254,96,7,0
2024-MAR,ACTIVE,35L,24,798,3,29,3,0
2024-MAR,ACTIVE,35M,455,798,111,83,1,0
2024-MAR,ACTIVE,35N,374,454,315,153,11,5
2024-MAR,ACTIVE,35PAZ,24,798,2,43,2,0
2024-MAR,ACTIVE,35PCM,24,24,4,2,4,2
2024-MAR,ACTIVE,35PFR,161,333,4,2,2,2
2024-MAR,ACTIVE,35PKP,24,798,8,21,8,0
2024-MAR,ACTIVE,35PPF,412,529,17,17,2,2
2024-MAR,ACTIVE,35PQB,798,798,52,28,0,0
2024-MAR,ACTIVE,35PRU,24,24,2,0,2,0
2024-MAR,ACTIVE,35S,24,440,6,56,6,3
2024-MAR,ACTIVE,35T,398,798,100,25,5,0
2024-MAR,ACTIVE,36B,798,533,137,30,0,2
2024-MAR,ACTIVE,37F,,24,,15,,15
2024-MAR,ACTIVE,42A,798,798,801,592,0,0
2024-MAR,ACTIVE,42R,434,798,25,98,4,0
2024-MAR,ACTIVE,46S,24,798,3,23,3,0
2024-MAR,ACTIVE,46T,798,574,28,20,0,1
2024-MAR,ACTIVE,46V,798,798,72,63,0,0
2024-MAR,ACTIVE,51C,,24,,0,,0
2024-MAR,ACTIVE,56M,798,798,63,156,0,0
2024-MAR,ACTIVE,68A,299,526,23,36,3,2
2024-MAR,ACTIVE,68B,281,319,4,6,2,2
2024-MAR,ACTIVE,68C,373,595,178,171,19,7
2024-MAR,ACTIVE,68D,436,549,103,74,8,8
2024-MAR,ACTIVE,68E,558,798,138,96,2,0
2024-MAR,ACTIVE,68F,24,561,4,43,4,2
2024-MAR,ACTIVE,68G,798,560,30,51,0,3
2024-MAR,ACTIVE,68H,798,798,19,8,0,0
2024-MAR,ACTIVE,68J,427,558,78,57,6,4
2024-MAR,ACTIVE,68K,798,589,159,104,0,3
2024-MAR,ACTIVE,68L,798,798,1,15,0,0
2024-MAR,ACTIVE,68M,798,798,13,18,0,0
2024-MAR,ACTIVE,68P,798,798,138,67,0,0
2024-MAR,ACTIVE,68Q,487,596,56,42,3,2
2024-MAR,ACTIVE,68R,480,620,101,132,2,2
2024-MAR,ACTIVE,68S,798,798,12,41,0,0
2024-MAR,ACTIVE,68T,798,798,48,58,0,0
2024-MAR,ACTIVE,68V,24,798,0,57,0,0
2024-MAR,ACTIVE,68W,348,540,836,911,82,43
2024-MAR,ACTIVE,68X,407,572,65,106,4,3
2024-MAR,ACTIVE,68Y,24,361,3,7,3,3
2024-MAR,ACTIVE,74D,294,517,168,299,25,3
2024-MAR,ACTIVE,79R,,24,,1,,1
2024-MAR,ACTIVE,79S,,461,,20,,5
2024-MAR,ACTIVE,88H,798,798,156,144,0,0
2024-MAR,ACTIVE,88K,24,394,2,3,2,1
2024-MAR,ACTIVE,88L,24,235,0,1,0,1
2024-MAR,ACTIVE,88M,241,535,354,988,90,20
2024-MAR,ACTIVE,88N,276,434,39,97,6,7
2024-MAR,ACTIVE,89A,24,,3,,3,
2024-MAR,ACTIVE,89B,455,798,238,85,2,0
2024-MAR,ACTIVE,89D,24,24,15,7,15,7
2024-MAR,ACTIVE,91A,24,798,5,92,5,0
2024-MAR,ACTIVE,91B,336,554,986,1293,80,20
2024-MAR,ACTIVE,91C,367,798,140,230,15,0
2024-MAR,ACTIVE,91D,440,622,208,227,5,2
2024-MAR,ACTIVE,91E,350,604,98,126,12,3
2024-MAR,ACTIVE,91F,427,798,178,192,8,0
2024-MAR,ACTIVE,91H,64,798,7,52,7,0
2024-MAR,ACTIVE,91J,798,,70,,0,
2024-MAR,ACTIVE,91L,193,415,8,34,4,1
2024-MAR,ACTIVE,91M,24,798,3,100,3,0
2024-MAR,ACTIVE,91P,24,358,1,23,1,2
2024-MAR,ACTIVE,91S,798,593,98,140,0,1
2024-MAR,ACTIVE,92A,798,798,494,799,0,0
2024-MAR,ACTIVE,92F,395,798,536,589,19,0
2024-MAR,ACTIVE,92G,127,513,41,359,25,2
2024-MAR,ACTIVE,92L,469,,17,,1,
2024-MAR,ACTIVE,92M,798,798,10,7,0,0
2024-MAR,ACTIVE,92R,418,798,49,93,3,0
